,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
261,marawi,49,PH,1566701909,82,8.0,124.29,82.0,4.0
262,fos-sur-mer,0,FR,1566701939,88,43.44,4.95,70.0,4.7
263,sao joao da barra,19,BR,1566701940,94,-21.64,-41.05,62.63,3.11
264,saint-georges,0,CA,1566701940,100,46.12,-70.67,52.0,2.39
265,college,1,US,1566701940,36,64.86,-147.8,62.6,8.05
266,viedma,83,AR,1566701940,68,-40.81,-62.99,56.35,12.44
267,lorengau,100,PG,1566701941,74,-2.02,147.27,84.3,11.83
268,manakara,49,MG,1566701941,91,-22.14,48.01,65.51,4.61
269,batemans bay,74,AU,1566701941,55,-35.71,150.18,61.0,4.0
270,izmit,75,TR,1566701941,94,40.76,29.93,73.4,6.93
271,rafaela,100,AR,1566701942,57,-31.25,-61.49,55.99,1.99
272,kaitangata,100,NZ,1566701886,74,-46.28,169.85,50.0,8.99
273,adana,0,TR,1566701942,94,37.0,35.33,77.0,4.7
274,san carlos de bariloche,20,AR,1566701942,93,-41.13,-71.31,37.4,3.36
275,hofn,83,IS,1566701943,73,64.25,-15.21,38.03,7.61
276,kavieng,83,PG,1566701943,77,-2.57,150.8,82.58,12.77
277,belaya gora,96,RU,1566701943,74,68.54,146.19,62.65,7.43
278,harper,1,US,1566701943,83,30.3,-99.24,77.0,4.7
279,ewa beach,90,US,1566701944,55,21.32,-158.01,89.6,9.17
280,kholmogory,90,RU,1566701944,87,64.23,41.65,46.4,6.71
281,calama,0,CL,1566701944,11,-22.46,-68.93,53.6,6.93
282,zhanaozen,99,KZ,1566701944,25,43.35,52.85,73.49,8.28
283,kindu,74,CD,1566701945,63,-2.95,25.92,74.85,1.16
284,altos,0,BR,1566701945,74,-5.04,-42.46,80.6,0.94
285,walvis bay,0,NA,1566701945,13,-22.95,14.51,116.6,3.36
286,bathsheba,40,BB,1566701945,78,13.22,-59.52,82.4,18.34
287,novochernorechenskiy,100,RU,1566701946,88,56.27,91.08,59.75,7.83
288,cleburne,1,US,1566701827,88,32.35,-97.39,84.2,3.36
289,mathbaria,91,BD,1566701946,89,22.29,89.96,80.78,8.48
290,fortuna,20,ES,1566701786,88,38.18,-1.13,73.99,3.36
291,saint-joseph,0,FR,1566701946,82,43.56,6.97,75.2,4.7
292,tynda,19,RU,1566701947,55,55.15,124.74,70.23,5.35
293,batagay-alyta,58,RU,1566701947,49,67.8,130.41,55.67,2.68
294,lompoc,20,US,1566701947,93,34.64,-120.46,71.01,6.91
295,gazanjyk,0,TM,1566701948,15,39.24,55.52,78.85,15.14
296,seoul,20,KR,1566701948,65,37.57,126.98,82.4,4.7
297,gizo,20,IL,1566701948,74,31.8,34.94,80.6,4.7
298,vryburg,0,ZA,1566701948,26,-26.96,24.73,50.36,7.92
299,khani,90,GE,1566701949,100,41.96,42.96,71.6,3.36
300,luchegorsk,78,RU,1566701949,84,46.44,134.3,60.67,3.69
301,mayo,75,CA,1566701949,41,63.59,-135.9,59.0,3.36
302,rawson,67,AR,1566701949,53,-43.3,-65.11,54.44,18.05
303,zhezkazgan,0,KZ,1566701950,37,47.8,67.71,66.2,4.47
304,togur,96,RU,1566701950,84,58.36,82.83,57.09,14.03
305,polovinnoye,0,RU,1566701950,75,54.79,65.99,59.25,4.65
306,alakurtti,85,RU,1566701950,94,66.96,30.34,35.01,1.01
307,lincoln,8,GB,1566701697,100,53.23,-0.54,61.0,1.12
308,goma,17,CD,1566701951,84,-1.67,29.23,54.5,0.96
309,karlskoga,43,SE,1566701951,87,59.33,14.52,54.0,3.2
310,yala,20,TH,1566701951,78,6.54,101.28,82.4,3.36
311,nerchinskiy zavod,0,RU,1566701952,52,51.31,119.61,71.87,4.45
312,clyde river,98,CA,1566701952,65,70.47,-68.59,45.42,3.67
313,saint anthony,1,US,1566701952,24,43.97,-111.68,80.6,17.22
314,zhob,0,PK,1566701952,15,31.34,69.45,74.58,2.48
315,rorvik,100,NO,1566701952,83,64.86,11.24,61.0,1.99
316,port lincoln,90,AU,1566701953,74,-34.72,135.86,52.37,12.15
317,puerto del rosario,0,ES,1566701953,78,28.5,-13.86,78.8,9.17
318,yakeshi,0,CN,1566701953,66,49.28,120.73,67.24,4.68
319,impfondo,100,CD,1566701953,98,1.62,18.06,68.93,2.82
320,itupiranga,0,BR,1566701954,69,-5.13,-49.33,80.6,4.7
321,caravelas,66,BR,1566701954,83,-17.73,-39.27,70.41,8.08
322,vila franca do campo,75,PT,1566701954,94,37.72,-25.43,71.01,11.41
323,mount isa,0,AU,1566701955,12,-20.73,139.49,80.6,9.17
324,roma,0,IT,1566701885,64,41.89,12.48,75.0,4.7
325,kasongo-lunda,0,CD,1566701955,72,-6.48,16.82,65.96,2.84
326,kerema,88,PG,1566701955,81,-7.96,145.78,76.2,13.98
327,damara,0,CF,1566701956,100,4.96,18.7,71.6,2.24
328,luderitz,0,NA,1566701956,20,-26.65,15.16,68.0,1.12
329,agapovka,19,RU,1566701956,93,53.3,59.13,50.0,4.47
330,acapulco,75,MX,1566701956,79,16.86,-99.88,84.2,4.7
331,samarai,99,PG,1566701957,87,-10.62,150.67,74.06,7.4
332,wenzhou,99,CN,1566701957,1,28.02,120.66,89.01,15.01
333,itanhaem,75,BR,1566701957,82,-24.18,-46.79,55.4,14.99
334,ilebo,78,CD,1566701957,64,-4.33,20.59,75.57,4.36
335,siocon,100,PH,1566701958,64,11.03,124.04,88.1,1.48
336,namie,75,JP,1566701958,57,37.52,140.86,84.0,6.93
337,vila,0,IT,1566701958,94,45.18,8.4,73.0,9.17
338,buin,75,CL,1566701958,58,-33.73,-70.74,63.0,2.24
339,jambi,39,ID,1566701958,50,-1.6,103.62,87.06,5.57
340,oranjemund,11,ZA,1566701959,60,-28.55,16.43,60.78,12.01
341,banjar,76,ID,1566701959,63,-7.37,108.54,79.73,4.74
342,meulaboh,100,ID,1566701959,86,4.14,96.13,76.96,12.5
343,goderich,0,CA,1566701959,84,43.74,-81.71,62.01,1.99
344,mahebourg,75,MU,1566701939,88,-20.41,57.7,69.8,8.05
345,aksu,90,KZ,1566701960,88,52.04,76.93,62.6,2.24
346,malazgirt,0,TR,1566701960,76,39.15,42.54,53.0,1.95
347,severnoye,0,RU,1566701961,80,54.09,52.54,56.46,3.91
348,iralaya,0,HN,1566701961,94,15.0,-83.23,75.65,1.41
349,baymak,11,RU,1566701961,90,52.6,58.31,54.57,2.24
350,sompeta,99,IN,1566701961,73,18.93,84.6,82.95,1.01
351,el tocuyo,4,VE,1566701962,78,9.79,-69.8,71.52,6.2
352,galle,97,GN,1566701962,98,10.08,-12.83,69.54,3.51
353,tocopilla,5,CL,1566701962,88,-22.09,-70.2,56.24,1.97
354,ballina,92,IE,1566701962,94,54.11,-9.15,60.01,3.0
355,butte,1,US,1566701963,31,46.01,-112.54,73.4,11.41
356,saint-louis,0,SN,1566701963,83,16.03,-16.5,80.6,6.93
357,yershichi,0,RU,1566701963,95,53.67,32.75,54.26,4.97
358,haines junction,100,CA,1566701964,81,60.75,-137.51,44.36,3.18
359,kinsale,75,IE,1566701964,87,51.71,-8.52,57.2,14.99
360,bourail,29,NC,1566701964,49,-21.57,165.5,71.65,2.3
361,zhaotong,23,CN,1566701780,69,27.34,103.71,70.53,2.33
362,broken hill,5,AU,1566701964,40,-31.97,141.45,53.6,19.46
363,sehithwa,0,BW,1566701965,29,-20.47,22.7,50.14,5.61
364,scunthorpe,8,GB,1566701965,100,53.59,-0.65,60.8,1.12
365,singaraja,26,ID,1566701965,67,-8.11,115.08,78.83,3.42
366,te anau,100,NZ,1566701965,87,-45.41,167.72,42.47,6.58
367,languyan,90,FR,1566701966,93,48.3,-3.83,62.6,2.24
368,aginskoye,100,RU,1566701966,79,51.11,114.54,64.0,6.73
369,arlit,100,NE,1566701966,58,18.74,7.39,80.61,1.81
370,nizhniy tsasuchey,100,RU,1566701966,93,50.52,115.13,58.71,6.29
371,pimentel,68,BR,1566701967,92,-3.7,-45.5,72.59,3.09
372,manacapuru,0,BR,1566701967,83,-3.3,-60.62,77.0,1.12
373,suntar,74,RU,1566701967,64,62.16,117.65,65.51,4.61
374,bubaque,97,GW,1566701804,85,11.28,-15.83,79.62,20.27
375,manokwari,75,ID,1566701968,79,-0.87,134.08,79.39,5.06
376,turriff,100,GB,1566701968,100,57.54,-2.46,60.01,3.36
377,rio gallegos,0,AR,1566701801,76,-51.62,-69.22,37.4,1.12
378,lata,83,IN,1566701968,95,30.78,78.62,47.12,3.8
379,slave lake,1,CA,1566701968,59,55.28,-114.77,64.4,3.36
380,huarmey,100,PE,1566701969,92,-10.07,-78.15,58.83,11.65
381,leshukonskoye,100,RU,1566701969,86,64.9,45.76,46.86,7.85
382,xichang,4,CN,1566701969,45,27.88,102.25,87.01,3.58
383,aleysk,100,RU,1566701969,85,52.5,82.77,57.74,10.87
